"County","State","pct_more_65y","pct_less_18y","pct_high_school","pct_asian","pct_black","pct_latino","pct_white","pct_homeownership","households","housing_units","median_value_occupied_units","pers_houshold","median_household_income","income_capita","land_area","lang_other_eng","living_same_house","mean_travel_time_work","pct_female","veterans","pop_2020","pop_2010","pop_square_mile","retail_sales","total_firms","party","diff_Biden_Trump"
"Abbeville County","SC",22.4,19.8,81.7,0.4,27.6,1.6,68.9,75,9660,12245,90800,2.46,38741,22646,490.48,2.8,90.4,28.1,51.6,1559,24295,25417,51.8,91371,1450,"REP",-4114
"Acadia Parish","LA",15.8,25.8,79,0.3,18,2.8,77.3,71.1,22236,26657,118000,2.76,43396,23122,655.12,10,89.8,28.9,51.1,2690,57576,61773,94.3,602739,4664,"REP",-17153
"Accomack County","VA",24.6,20.7,81.5,0.8,28.8,9.1,59.9,66.8,13438,21319,171800,2.35,46073,26018,449.5,11.5,93,22.9,51.3,2606,33413,33164,73.8,348195,2997,"REP",-1594
"Ada County","ID",14.9,23.2,95.2,2.7,1.4,8.5,84.3,69.3,173353,192630,270800,2.58,66293,34919,1052.58,8.7,83.7,20.7,49.9,29924,494967,392365,372.8,5766679,41789,"REP",-10160
"Adair County","IA",23,21.8,94.2,0.5,0.6,2.5,95.1,74.3,3200,3718,104600,2.17,53363,30822,569.27,3.2,86.1,25.1,50.2,492,7496,7682,13.5,63002,914,"REP",-1719
"Adair County","KY",19.2,19.9,79.6,0.4,2.9,2.2,93,76.1,6977,8632,96400,2.56,38021,21196,405.28,2.6,89,26.4,50.2,1104,18903,18656,46,204296,1725,"REP",-5884
"Adair County","MO",15.1,17.9,90.1,2.6,3.4,2.6,89.4,60.1,9258,11645,126800,2.45,41929,22847,567.32,5.9,75.1,16.8,52,1176,25314,25607,45.1,336233,2175,"REP",-2703
"Adair County","OK",15.8,27,80.8,0.8,0.6,7.1,39.4,69.3,7733,9415,87600,2.86,34695,17026,573.48,8.3,90.2,26.7,50,1268,19495,22683,39.6,123351,1864,"REP",-4198
"Adams County","CO",10.7,26.1,83.8,4.5,4,40.8,49,66.2,166450,178519,307600,3,71202,30313,1167.65,29,84.7,29.8,49.4,26796,519572,441603,378.2,5548735,34447,"DEM",38545
"Adams County","IA",23.7,20.9,93.8,0.7,0.5,1.4,96.1,81.7,1598,2012,87500,2.21,49255,28440,423.44,1.5,88.7,21.3,50.1,272,3704,4029,9.5,21326,284,"REP",-940
"Adams County","ID",29.9,17.3,90.2,0.9,0.4,3.6,91.6,80.3,1757,2705,215500,2.29,48856,28026,1363.06,3.5,81.6,24.8,48.6,531,4379,3976,2.9,26787,321,"REP",-1350
"Adams County","IL",20.7,22.6,92.5,0.9,3.9,1.8,91.4,71.8,27112,30244,127800,2.38,52993,30343,855.2,2.1,88.9,17.3,50.7,4516,65737,67103,78.5,1066523,5074,"REP",-15587
"Adams County","IN",15.9,31.4,84.7,0.4,0.6,4.5,93.6,77.1,12481,13403,129300,2.79,52504,23316,339.03,14.8,87.7,21.9,50,1430,35809,34387,101.4,377228,3500,"REP",-7450
"Adams County","MS",19.6,19.9,77.9,0.6,53.4,10.1,35.5,62.4,11237,14732,92100,2.56,29936,18386,462.41,9.1,92.3,22.3,48,1486,29538,32297,69.8,488747,3323,"DEM",2221
"Adams County","ND",28.5,19.3,94.5,2.8,0.9,1.6,92.2,73.5,1035,1442,121200,2.16,56681,33458,987.62,3.8,92.4,14.6,50.5,136,2200,2343,2.4,43133,333,"REP",-723
"Adams County","NE",18.9,23.4,90,1.3,1.3,11,85.1,66.5,12712,13964,128500,2.35,53023,28729,563.27,8.6,84.9,16.8,50.2,1834,31205,31364,55.7,453261,2921,"REP",-5872
